# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:10000,num_iter:100000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:469,num_snp_partitions:1,num_samps:100
# left_snp right_snp mean p0.025 p0.500 p0.975
18943 18958 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18958 19094 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19094 19113 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19113 19136 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19136 19223 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19223 19225 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19225 19536 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19536 19592 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19592 19628 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19628 19798 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19798 19806 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19806 19858 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
19858 20061 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20061 20289 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20289 20305 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20305 20354 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20354 20386 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20386 20393 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20393 20499 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20499 20540 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20540 20571 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20571 20703 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20703 20729 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20729 20763 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20763 20777 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20777 20820 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20820 20858 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20858 20998 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
20998 21162 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21162 21240 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21240 21286 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21286 21302 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21302 21435 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21435 21601 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21601 21668 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21668 21674 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21674 21691 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21691 21717 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21717 21792 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21792 21883 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21883 21893 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21893 21916 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21916 21917 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21917 21987 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
21987 22004 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22004 22022 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22022 22126 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22126 22130 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22130 22174 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22174 22238 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22238 22322 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22322 22394 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22394 22396 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22396 22450 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22450 22523 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22523 22673 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22673 22698 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22698 22793 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22793 22833 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22833 22834 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22834 22864 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22864 22889 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22889 22913 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22913 22929 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
22929 23014 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23014 23027 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23027 23028 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23028 23077 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23077 23093 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23093 23095 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23095 23102 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23102 23128 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23128 23144 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23144 23152 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23152 23167 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23167 23199 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23199 23201 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23201 23219 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23219 23231 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23231 23281 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23281 23371 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23371 23395 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23395 23439 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23439 23502 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23502 23525 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23525 23531 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23531 23595 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23595 23600 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23600 23616 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23616 23657 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23657 23672 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23672 23798 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23798 23870 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23870 23902 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23902 23910 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23910 23969 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
23969 24006 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24006 24042 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24042 24053 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24053 24074 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24074 24280 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24280 24294 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24294 24397 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24397 24421 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24421 24828 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24828 24897 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24897 24927 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24927 24956 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
24956 24971 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
